# URL Replacement Map - Format: OLD_URL|NEW_URL|REASON
# 404 and timeout URLs with verified working replacements

# DriveElectric - old path 404'd, main site works
https://www.nrel.gov/analysis/resource-planning.html|https://www.nrel.gov/analysis/|Analysis main page

# NYC sustainability - pages moved
https://www.nyc.gov/site/sustainability/codes/ll97-resources.page|https://www.nyc.gov/site/buildings/codes/energy-conservation-code.page|Building codes page
https://www.nyc.gov/site/sustainability/codes/mobilizing-climate-action.page|https://www.nyc.gov/site/buildings/codes/energy-conservation-code.page|Building codes page

# OASIS - committees page changed
https://www.oasis-open.org/committees/tc_home.php?wg_abbrev=energy|https://www.oasis-open.org/|Main OASIS site

# Oracle utilities - page moved
https://www.oracle.com/industries/utilities/customer-experience/|https://www.oracle.com/utilities/|Utilities main page

# RFF clean energy - topic changed
https://www.rff.org/topics/clean-energy/|https://www.rff.org/|RFF main site

# Sierra Club activist resources - page moved
https://www.sierraclub.org/grassroots-network/activist-resources|https://www.sierraclub.org/volunteer|Volunteer page

# SolarABCs - site timeout
https://www.solarabcs.org/about/publications/reports/expedited-permit/index.html|https://www.nrel.gov/solar/|NREL solar resources

# UN PRI - URL changed
https://www.unpri.org/pri/about-the-pri|https://www.unpri.org/about-us/what-are-the-principles-for-responsible-investment|About PRI page

# BrickSchema YouTube - channel URL format changed
https://www.youtube.com/c/BrickSchema|https://brickschema.org/|Official Brick Schema site

# Government sites with timeouts (non-US) - keep or find alternatives
http://www.gddrc.gd.gov.cn/|https://www.iea.org/countries/china|IEA China page for Chinese energy
https://au.int/en/agenda2063|https://au.int/|African Union main site
https://au.int/en/pressreleases/20250914/africa-claims-its-place-global-climate-leadership|https://au.int/|African Union main site
https://www.eep.gov.et/|https://www.iea.org/countries/ethiopia|IEA Ethiopia page
https://www.kseb.in|https://www.kseb.in/web/guest|KSEB proper URL
https://www.kseb.in/|https://www.kseb.in/web/guest|KSEB proper URL
https://www.enecho.meti.go.jp|https://www.enecho.meti.go.jp/en/|Japan energy agency English
https://www.enecho.meti.go.jp/category/saving_and_new/saving/enterprise/equipment/|https://www.enecho.meti.go.jp/en/|Japan energy agency English
https://www.vneep.gov.vn|https://www.iea.org/countries/vietnam|IEA Vietnam page
